1	0.0136832	0
0.833333	0.0115943	7.10543e-15
0.714286	0.00758634	7.10543e-15
0.625	0.00472784	0
0.555556	0.00295348	2.13163e-14
0.5	0.0018788	1.77636e-15
0.454545	0.00128208	1.42109e-14
0.416667	0.000908366	4.26326e-14
0.384615	0.000649355	1.42109e-14
0.357143	0.000479356	2.84217e-14
0.333333	0.00036535	2.13163e-14
0.3125	0.000279894	0
0.294118	0.000217666	4.26326e-14
0.277778	0.000173979	1.42109e-14
0.263158	0.000139518	4.26326e-14
0.25	0.000112582	1.11022e-16
0.238095	9.30434e-05	1.42109e-14
0.227273	7.70696e-05	5.68434e-14
0.217391	6.4026e-05	2.13163e-14
0.208333	5.41555e-05	5.68434e-14
0.2	4.59537e-05	7.10543e-14
0.192308	3.90768e-05	1.13687e-13
0.185185	3.36207e-05	1.42109e-14
0.178571	2.90665e-05	8.52651e-14
0.172414	2.51692e-05	8.52651e-14
0.166667	2.19591e-05	5.68434e-14
0.16129	1.92689e-05	8.52651e-14
0.15625	1.69291e-05	0
0.151515	1.49425e-05	9.9476e-14
0.147059	1.32718e-05	8.52651e-14
0.142857	1.17994e-05	1.13687e-13
0.138889	1.05174e-05	1.27898e-13
0.135135	9.43599e-06	2.13163e-14
0.131579	8.47246e-06	1.56319e-13
0.128205	7.61556e-06	1.7053e-13
0.125	6.89081e-06	6.93889e-18
0.121951	6.23908e-06	1.27898e-13
0.119048	5.65327e-06	1.98952e-13
0.116279	5.14858e-06	2.27374e-13
0.113636	4.69512e-06	1.13687e-13
0.111111	4.2843e-06	1.98952e-13
0.108696	3.92368e-06	2.84217e-14
0.106383	3.60035e-06	1.13687e-13
0.104167	3.30542e-06	1.7053e-13
0.102041	3.04227e-06	1.13687e-13
0.1	2.80674e-06	2.27374e-13
0.0980392	2.59062e-06	1.7053e-13
0.0961538	2.39499e-06	1.98952e-13
0.0943396	2.22016e-06	2.55795e-13
0.0925926	2.0589e-06	2.84217e-14
0.0909091	1.91104e-06	8.52651e-14
0.0892857	1.77907e-06	1.98952e-13
0.0877193	1.65678e-06	2.27374e-13
0.0862069	1.54349e-06	8.52651e-14
0.0847458	1.44225e-06	3.41061e-13
0.0833333	1.34816e-06	1.42109e-13
0.0819672	1.26064e-06	1.7053e-13
0.0806452	1.18148e-06	3.12639e-13
0.0793651	1.10814e-06	1.7053e-13
0.078125	1.03966e-06	0
0.0769231	9.77052e-07	1.42109e-13
0.0757576	9.19211e-07	2.84217e-13
0.0746269	8.65022e-07	3.69482e-13
0.0735294	8.1498e-07	1.7053e-13
0.0724638	7.68868e-07	2.55795e-13
0.0714286	7.25536e-07	1.7053e-13
0.0704225	6.85155e-07	2.84217e-13
0.0694444	6.48031e-07	3.97904e-13
0.0684932	6.13049e-07	3.12639e-13
0.0675676	5.80178e-07	5.68434e-14
0.0666667	5.5002e-07	1.91847e-13
0.0657895	5.2153e-07	1.98952e-13
0.0649351	4.94618e-07	1.98952e-13
0.0641026	4.69851e-07	4.83169e-13
0.0632911	4.4646e-07	2.84217e-13
0.0625	4.24314e-07	4.33681e-19
0.0617284	4.03767e-07	1.7053e-13
0.0609756	3.84418e-07	3.97904e-13
0.060241	3.6606e-07	2.27374e-13
0.0595238	3.48899e-07	5.11591e-13
0.0588235	3.32784e-07	4.54747e-13
0.0581395	3.17463e-07	3.12639e-13
0.0574713	3.03041e-07	8.52651e-14
0.0568182	2.89532e-07	3.69482e-13
0.0561798	2.76665e-07	3.41061e-13
0.0555556	2.64474e-07	4.54747e-13
0.0549451	2.53081e-07	4.54747e-13
0.0543478	2.42211e-07	6.53699e-13
0.0537634	2.3185e-07	1.42109e-13
0.0531915	2.22188e-07	3.97904e-13
0.0526316	2.12955e-07	1.98952e-13
0.0520833	2.04132e-07	3.12639e-13
0.0515464	1.95866e-07	4.83169e-13
0.0510204	1.87983e-07	1.42109e-13
0.0505051	1.80439e-07	3.97904e-13
0.05	1.73329e-07	5.40012e-13
0.049505	1.66565e-07	1.7053e-13
0.0490196	1.60084e-07	4.54747e-13
0.0485437	1.5394e-07	7.10543e-13
0.0480769	1.48111e-07	2.20268e-13
0.047619	1.42518e-07	4.26326e-13
0.0471698	1.37188e-07	2.84217e-13
0.046729	1.32142e-07	3.69482e-13
0.0462963	1.27295e-07	7.38964e-13
0.0458716	1.22653e-07	5.96856e-13
0.0454545	1.18268e-07	7.10543e-13
0.045045	1.14051e-07	5.68434e-14
0.0446429	1.09994e-07	6.25278e-13
0.0442478	1.06167e-07	3.69482e-13
0.0438596	1.02484e-07	5.68434e-13
0.0434783	9.89371e-08	6.53699e-13
0.0431034	9.55746e-08	8.52651e-14
0.042735	9.23463e-08	4.26326e-13
0.0423729	8.92344e-08	4.83169e-13
0.0420168	8.62703e-08	4.83169e-13
0.0416667	8.34312e-08	3.69482e-13
0.0413223	8.06919e-08	6.25278e-13
0.0409836	7.80708e-08	6.82121e-13
0.0406504	7.5566e-08	4.54747e-13
0.0403226	7.3147e-08	3.12639e-13
0.04	7.08224e-08	8.52651e-14
0.0396825	6.86058e-08	4.83169e-13
0.0393701	6.64631e-08	2.55795e-13
0.0390625	6.43957e-08	0
0.0387597	6.24284e-08	2.55795e-13
0.0384615	6.05252e-08	5.11591e-13
0.0381679	5.8684e-08	1.7053e-13
0.0378788	5.69307e-08	6.82121e-13
0.037594	5.52355e-08	2.27374e-13
0.0373134	5.35942e-08	8.52651e-13
0.037037	5.20249e-08	6.53699e-13
0.0367647	5.05109e-08	5.11591e-13
0.0364964	4.90441e-08	5.68434e-13
